wl;motor_pos
754.8638896;14.4056 
754.627079;14.4188 
754.4223709;14.4320 
754.1760868;14.4451 
753.9379356;14.4583 
753.73054;14.4715 
753.4803535;14.4847 
753.2494125;14.4979 
752.9984585;14.5111 
752.7602867;14.5242 
752.5174835;14.5374 
752.2459534;14.5506 
752.0330064;14.5638 
751.7947671;14.5770 
751.5581614;14.5901 
751.3556354;14.6033 
751.0969413;14.6165 
750.8667725;14.6297 
750.6398718;14.6429 
750.3808909;14.6561 
750.1508864;14.6692 
749.9200941;14.6824 
749.6940011;14.6956 
749.4335523;14.7088 
749.189875;14.7220 
748.9862212;14.7352 
748.7391983;14.7483 
748.5021649;14.7615 
748.3117491;14.7747 
748.063787;14.7879 
747.8250685;14.8011 
747.5973479;14.8143 
747.3527571;14.8274 
747.1610446;14.8406 
746.9229029;14.8538 
746.6795688;14.8670 
746.4806525;14.8802 
746.2190933;14.8933 
745.9674633;14.9065 
745.7667136;14.9197 
745.5021721;14.9329 
745.3012628;14.9461 
745.0781288;14.9593 
744.8606756;14.9724 
744.6314433;14.9856 
744.3936705;14.9988 
744.1686608;15.0120 
743.9598201;15.0252 
743.736773;15.0384 
743.5053245;15.0515 
743.3004695;15.0647 
743.0678077;15.0779 
742.8338537;15.0911 
742.5929234;15.1043 
742.3626585;15.1174 
742.1583072;15.1306 
741.9378104;15.1438 
741.7265667;15.1570 
741.5115523;15.1702 
741.2940193;15.1834 
741.0929826;15.1965 
740.8474144;15.2097 
